"模块","对象","现有实现代码(摘要)","现有代码位置","升级版实现代码(建议)","新增参数/配置","验收指标"
"维科夫事件","BC","high-zone vol climax + close near high","backend/app/core/signal_analyzer.py:443","BC_risk = buying_climax_strength + upper_shadow_growth + followup_failure","bc_shadow_ratio_min","BC误判为强突破减少"
"维科夫事件","AR(d)","after BC decline_min <= close_bc*0.94","backend/app/core/signal_analyzer.py:477","ARd_risk = decline_impulse + failed_rebound","ard_decline_min, ard_window","派发转弱识别更早"
"维科夫事件","ST(d)","near BC high && lower_volume && close_weak","backend/app/core/signal_analyzer.py:486","STd_risk = weak_retest + no_new_high + supply_dominant","std_retest_tolerance","二次上冲失败识别更准"
"维科夫事件","UTAD","new_high && close_back_below_high && upper_shadow>=0.5 && vol_ratio>=1.2","backend/app/core/signal_analyzer.py:504","UTAD_risk = fake_breakout + shadow_supply + followup_fail(1~2d no recover); block_new_entry","utad_block_enabled, utad_confirm_days","UTAD导致亏损笔数下降"
"维科夫事件","SOW","ret10<=-0.05 && close<MA*0.995 && vol_ratio>=1.1","backend/app/core/signal_analyzer.py:526","SOW_risk = weakness_spread + broken_support + rebound_failure","sow_rebound_fail_window","弱势延续识别率提升"
"维科夫事件","LPSY","close<MA && lower-high structure","backend/app/core/signal_analyzer.py:542","LPSY_risk = weak_rally + lower_high + downside_resume","lpsy_lower_high_window","左侧抄底误入减少"
"评分","入场质量分","entry_quality = phase*0.34 + event*0.24 + structure*0.20 + trend*0.14 + vol*0.08 - risk_penalty","backend/app/core/signal_analyzer.py:668","event_score = 0.30*background + 0.25*position + 0.25*vol_price + 0.20*confirmation - risk","event_score_threshold, risk_score_cap","胜率与稳定性同步提升"
"信号输出","信号有效期","expire_date = trigger_date + 2 calendar days","backend/app/store.py:4000","signal_age_days = trading_days_diff(as_of_date, trigger_date); filter by [min,max]","signal_age_min, signal_age_max","信号时效筛选可控"
"回测入场","固定T+1","entry_index = signal_index + 1","backend/app/core/backtest_engine.py:374","entry_index = signal_index + entry_delay_days (trading-day based)","entry_delay_days","T+2/T+3回测可用"
"回测风控","延迟期无失效保护","no pre-entry invalidation in delay window","backend/app/core/backtest_engine.py:434","if risk_event(UTAD/SOW/LPSY) or sell_signal in [signal+1,entry-1]: cancel entry","delay_invalidation_enabled","延迟入场质量提升"
"回测路径","矩阵与旧路径语义差异","matrix uses s5/s6/s8/s9 simplified signals","backend/app/core/backtest_signal_matrix.py:158","align matrix event semantics with wyckoff_v2 scores/confirmations","matrix_event_semantic_version","路径口径一致性提升"
"排序","同日优先级","sort by quality/phase/events_weight; optional topk per day","backend/app/core/backtest_engine.py:943","final_rank = 0.45*health_score + 0.55*event_score; apply day topk","rank_weight_health, rank_weight_event, day_topk","同日信号质量提升"
"实验","A/B验证基线","compare only stop_loss/take_profit often forms尖峰","backend/app/store.py:6347","A/B: entry_delay(1/2/3), age filter, health gate, event-score gate","experiment_matrix_v2","收益曲线更平台化"
"验收","核心指标","current focus on return/winrate","backend/app/store.py:6971","add hard targets: UTAD_ratio, max_consecutive_losses, drawdown, expectancy","target_utad_ratio_drop, target_loss_streak_drop","可交易性显著改善"
"P0 架构","事件序列合法性 soft gate","single-event trigger; limited sequence check only","backend/app/core/signal_analyzer.py:146","phase_context_score from prerequisite events; downgrade if missing context","phase_context_window_days, prerequisite_map, phase_context_min_score","孤立假信号显著减少"
"P0 架构","事件时间衰减","historical events contribute without explicit recency decay","backend/app/core/signal_analyzer.py:618","event_contrib = base_event_score * exp(-lambda_event * days_since_event)","event_decay_lambda_map, event_max_age_days","僵尸信号加分消失"
"P0 架构","矩阵/旧路径语义对齐","matrix uses simplified s5/s6/s8/s9 semantics","backend/app/core/backtest_signal_matrix.py:158","align matrix event semantics with legacy wyckoff_v2 scoring/confirmation/risk","signal_semantic_version, matrix_legacy_diff_guard","两路径同口径差异收敛"
"P1 精度","K线微观确认(candle_quality)","event logic mainly uses close/volume/MA conditions","backend/app/core/signal_analyzer.py:259","add candle_quality subscore: body_ratio, shadow_ratio, close_location(tr_pos) per event","candle_quality_weights, candle_quality_min","SC/Spring/UTAD判定精度提升"
"P1 精度","量基准日历效应修正","volume baseline mainly vol_ma20 / vol_ratio20","backend/app/core/signal_analyzer.py:226","weekday-adjusted volume baseline or calendar z-score; holiday mask downgrades","volume_calendar_mode, holiday_mask_window","节假日量信号噪声下降"
"P2 进阶","筹码顶部密集度代理","distribution risk relies on price-volume only","backend/app/core/signal_analyzer.py:441","cost_center = EMA(close*volume,20)/EMA(volume,20); use shift rate with stagnation","cost_center_window, cost_shift_threshold","派发与洗盘区分度提升"
"P2 进阶","多周期交叉验证(weekly_context)","single daily timeframe dominates","backend/app/core/signal_analyzer.py:70","weekly_bias from weekly MA10/MA20 and position; multiply daily event score","weekly_bias_weight, weekly_context_enabled","高置信度信号占比提升"
